"Filename","Expected_subdir","Description","Comments"
"physical_parameters_ASCENSION.csv","Param","Physical parameters (areas thickness and sediments)","Ascension EEZ model data"
"physics_ASCENSION_MA_2050-2059-CNRM-ssp370.csv","Driving","Physics drivers (ocean inflows temperature etc)","Ascension 2010-2019 data from NEMO-ERSEM and elsewhere"
"chemistry_ASCENSION_MA_2050-2059-CNRM-ssp370.csv","Driving","Chemistry drivers (boundary nutrients etc)","Ascension 2010-2019 data from NEMO-ERSEM and elsewhere"
"initial_values_ASCENSION_2010-2019.csv","Param","Initial state of each state variable","Data exported from end of run for stationary state Ascension 2010-2019 model"
"event_timing_ASCENSION_MA_2050-2059-CNRM-ssp370.csv","Param","Biological event timing parameters","Ascension spawning recruitment and tuna migrations in the 2010-2019 period"
"fixed_consumers_ASCENSION.csv","Param","Fixed parameters for consumer guilds","Mostly generic parameters for European temperate waters "
"fixed_miscellaneous_ASCENSION.csv","Param","Fixed miscellaneous parameters (Q10s etc)","Miscellaneous fixed parameters for European temperate waters"
"fitted_preference_matrix_ASCENSION.csv","Param","Fitted prey preference matrix","Ascension fitted preference matrix"
"fitted_uptake_mort_rates_ASCENSION.csv","Param","Fitted uptake and mortality parameters","Ascension fitted parameters "
"fitted_microbiology_others_ASCENSION.csv","Param","Fitted microibiology and other parameters","Ascension fitted parameters "
"fishing_fleet_ASCENSION_MA_2010-2019.csv","Param","Fishing fleet basic parameters","Ascension Island EEZ fleet parameters"
"fishing_activity_ASCENSION_2010-2019.csv","Param","Fishing activity and seabed abrasion rates for each gear with activity all set to zero","Ascension Island EEZ - guess at gear activity rates for 2010-2019"
"fishing_power_ASCENSION.csv","Param","Fishing power parameters for each gear and guild","Ascension Island EEZ - guess at power parameters for 2010-2019"
"fishing_discards_ASCENSION.csv","Param","Discard rates for each gear and guild","Ascension Island EEZ - gues at discard rates for 2010-2019"
"fishing_processing_ASCENSION.csv","Param","Processing at sea ratyes for each gear and guild","Ascension Island EEZ - guess at processing-at-sea rates rough guess for 2010-2019"
"fishing_distribution_ASCENSION.csv","Param","Spatial distribution of activity rates across habitats","Ascension Island EEZ - guess at gear activity distributions for 2010-2019"
"fishing_gear_multiplier.csv","Param","Gear activity multipiers","Multipliers to be applied to activity rates of gears (values >=0)"
"harvest_ratio_multiplier.csv","Param","Harvest ratio multipliers","Multipliers to be applied to guild harvest ratios (values >=0)"
"food_web_flow_matrix_template.csv","Param","Food web flow matrix template","Template file for the creation of a mass flow matrix for the final year of the model run"
"fishing_gear_linkages.csv","Param","Relationships between gear activity rates over time","Ascension Island EEZ estimates _ only required by fitting function to seek activity rates generating given patterns of harvest ratios"
"additional_mortality.csv","Param","Inshore and offshore mortality rates","Addition non-predation mortality rates to be applied to each guild in environmental pressure scenarios"
"uptake_multiplier.csv","Param","Inshore and offshore multipliers to be applied to uptake rates","Multipliers to be applied to the maximum uptake rate of each guild in environmental pressure scenarios"
"annual_observed_ASCENSION_MA_2010-2019.csv","Target","Annual target data","Ascension Island EEZ compilation of annual observational data on the mean state of the ecosystem during 2010-2019"
"monthly_observed_ASCENSION_MA_2010-2019.csv","Target","Monthly target data","Ascension Island EEZ Compilation of monthly observational data on the mean state during 2010-2019"
"region_harvest_r_ASCENSION_MA_2010-2019.csv","Target","Independently estimates guild harvest ratios","Ascension Island EEZ guild HRs from roughly guessed from stock assessments _ only required by utility function to calculate HRscale parameters given known regional harvest ratios"
"zonal_harvest_r_ASCENSION.csv","Target","Inshore and offshore harvest ratios","Ascension Island EEZ inshore and offshore harvest ratios genertaed by a prior run of the model  _ only required by fitting function to seek activity rates generating given patterns of harvest ratios"
